mod,sub,nrom,departamento,categorias,co2abs,co2,ch4,n2o,hfc-23,hfc-32,hfc-125,hfc-134a,hfc-143a,hfc-152a,hfc-227ea,hfc-236fa,hfc-245fa,hfc-365mfc,hfc-43-10mee,pfc-14,pfc-116,sf6,co2abseq,co2eq,ch4eq,n2oeq,hfc-23eq,hfc-32eq,hfc-125eq,hfc-134aeq,hfc-143aeq,hfc-152aeq,hfc-227eaeq,hfc-236faeq,hfc-245faeq,hfc-365mfceq,hfc-43-10meeeq,pfc-14eq,pfc-116eq,sf6eq,abosorciones_totales,emisiones_totales,emisiones_netas,sector_principal
1.0,b,iv,AMAZONAS,1A3biv1 - Motos,,10.97678168,0.0016883155,0.0005339032,,,,,,,,,,,,,,,,10.97678168,0.0472728329,0.1414843469,,,,,,,,,,,,,,,,11.16553886,11.16553886,Energía
1.0,b,iv,AMAZONAS,1A3biv2 - Otros,,0.2590250374,3.96563e-05,1.2615e-05,,,,,,,,,,,,,,,,0.2590250374,0.001110377,0.0033429809,,,,,,,,,,,,,,,,0.2634783953,0.2634783953,Energía
1.0,b,v,AMAZONAS,1A3bv - Emisiones por evaporación procedentes de vehículos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Energía
1.0,b,vi,AMAZONAS,1A3bvi - Catalizadores basados en urea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Energía
1.0,c,,AMAZONAS,1A3c - Ferrocarriles,,0,0.0,0.0,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,0,0,Energía
1.0,d,,AMAZONAS,1A3d - Navegación marítima y fluvial,,0.3942022458,4.08741e-05,1.16783e-05,,,,,,,,,,,,,,,,0.3942022458,0.0011444758,0.0030947561,,,,,,,,,,,,,,,,0.3984414777,0.3984414777,Energía
1.0,d,ii,AMAZONAS,1A3dii - Navegación marítima y fluvial nacional,,0.3942022458,4.08741e-05,1.16783e-05,,,,,,,,,,,,,,,,0.3942022458,0.0011444758,0.0030947561,,,,,,,,,,,,,,,,0.3984414777,0.3984414777,Energía
1.0,e,,AMAZONAS,1A3e - Otro tipo de transporte,,1.416314357,7.91787e-05,0.0005456653,,,,,,,,,,,,,,,,1.416314357,0.0022170038,0.144601305,,,,,,,,,,,,,,,,1.563132666,1.563132666,Energía
1.0,e,i,AMAZONAS,1A3ei - Transporte por gasoductos,,0,0.0,0.0,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,0,0,Energía
1.0,e,ii,AMAZONAS,1A3eii - Todo terreno,,1.416314357,7.91787e-05,0.0005456653,,,,,,,,,,,,,,,,1.416314357,0.0022170038,0.144601305,,,,,,,,,,,,,,,,1.563132666,1.563132666,Energía
