"MOD","CAP","CAT","SUB","NROM","NUM","Departamento","Reportar","Nivel","Categorias","Rubro","Sector (Gráfica sectorial)","Sector (Colores histograma)","CO2abs","CO2","CH4","N2O","HFC-23","HFC-32","HFC-125","HFC-134a","HFC-143a","HFC-152a","HFC-227ea","HFC-236fa","HFC-245fa","HFC-365mfc","HFC-43-10mee","PFC-14","PFC-116","SF6","CO2abseq","CO2eq","CH4eq","N2Oeq","HFC-23eq","HFC-32eq","HFC-125eq","HFC-134aeq","HFC-143aeq","HFC-152aeq","HFC-227eaeq","HFC-236faeq","HFC-245faeq","HFC-365mfceq","HFC-43-10meeeq","PFC-14eq","PFC-116eq","SF6eq","Abosorciones_totales","Emisiones_Totales","Emisiones_Netas"
"3","B","2","a","x",,"BOGOTA","SI","3B2axSI","3B2ax - Tangelo","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","B","2","a","x","1","BOGOTA","SI","3B2ax1SI","Biomasa","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","B","2","a","x","2","BOGOTA","SI","3B2ax2SI","MOM","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","B","2","a","x","3","BOGOTA","SI","3B2ax3SI","Suelos","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","B","2","a","xi",,"BOGOTA","SI","3B2axiSI","3B2axi - Otro","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","B","2","a","xi","1","BOGOTA","SI","3B2axi1SI","Biomasa","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","B","2","a","xi","2","BOGOTA","SI","3B2axi2SI","MOM","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","B","2","a","xi","3","BOGOTA","SI","3B2axi3SI","Suelos","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","B","2","b","null",,"BOGOTA","SI","3B2bSI","3B2b - Tierras convertidas en tierras de cultivo","null","null","null","0","0.1878840453","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1878840453","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1878840453","0.1878840453"
"3","B","2","b","i",,"BOGOTA","SI","3B2biSI","3B2bi - Tierras forestales convertidas en tierras de cultivo","Deforestación (Tierras forestales convertidas en tierras de cultivo)","Gestión de tierras forestales","Deforestación","0","0.1878840453","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1878840453","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1878840453","0.1878840453"
"3","B","2","b","i","1","BOGOTA","SI","3B2bi1SI","Biomasa","null","null","null","0","0.0533640316","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0533640316","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0533640316","0.0533640316"
"3","B","2","b","i","2","BOGOTA","SI","3B2bi2SI","MOM","null","null","null","0","0.0016753737","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0016753737","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0016753737","0.0016753737"
"3","B","2","b","i","3","BOGOTA","SI","3B2bi3SI","Suelos","null","null","null","0","0.13284464","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.13284464","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.13284464","0.13284464"
"3","B","2","b","ii",,"BOGOTA","SI","3B2biiSI","3B2bii - Pastizales convertidos en tierras de cultivo","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","B","2","b","ii","1","BOGOTA","SI","3B2bii1SI","Biomasa","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","B","2","b","ii","2","BOGOTA","SI","3B2bii2SI","MOM","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","B","2","b","ii","3","BOGOTA","SI","3B2bii3SI","Suelos","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","B","2","b","iii",,"BOGOTA","SI","3B2biiiSI","3B2biii - Humedales convertidos en tierras de cultivo","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","B","2","b","iii","1","BOGOTA","SI","3B2biii1SI","Biomasa","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","B","2","b","iii","2","BOGOTA","SI","3B2biii2SI","MOM","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
